candidate_id,rank,score,reasoning
CAND_0018499,1,0.99,"Senior Machine Learning Engineer with 7.2 yrs in Noida, Uttar Pradesh; strong JD alignment; skills: Weaviate, Pinecone, Information Retrieval, Milvus; implemented RAG pipeline; product-company background; actively looking; 15d notice."
CAND_0081846,2,0.973053,"Lead AI Engineer with 6.7 yrs in Jaipur, Rajasthan; strong JD alignment; skills: Information Retrieval, Elasticsearch, Python, Embeddings; built semantic search; product-company background; actively looking; 30d notice."
CAND_0055905,3,0.772857,"Senior Machine Learning Engineer with 8.1 yrs in London; strong JD alignment; skills: Elasticsearch, Python, OpenSearch, Information Retrieval; built semantic search; product-company background; actively looking; 30d notice; concern: outside India (london)."
CAND_0039754,4,0.771996,"Senior Applied Scientist with 16.2 yrs in Indore, Madhya Pradesh; strong JD alignment; skills: Qdrant, NLP, OpenSearch, Machine Learning; built semantic search; product-company background; actively looking; 30d notice; concern: overexperienced (16.2 yrs)."
CAND_0046064,5,0.73995,"Senior NLP Engineer with 8.9 yrs in Coimbatore, Tamil Nadu; strong JD alignment; skills: Python, Pinecone, OpenSearch, Elasticsearch; implemented RAG pipeline; product-company background; actively looking; 30d notice."
CAND_0086022,6,0.721694,"Senior Applied Scientist with 5.3 yrs in Kolkata, West Bengal; strong JD alignment; skills: Elasticsearch, Pinecone, Embeddings, NLP; implemented RAG pipeline; product-company background; actively looking; 0d notice."
CAND_0005260,7,0.71575,"Senior NLP Engineer with 5.2 yrs in Chennai, Tamil Nadu; strong JD alignment; skills: Information Retrieval, Python, NLP, RAG; implemented RAG pipeline; product-company background."
CAND_0008425,8,0.702133,"Senior NLP Engineer with 7.8 yrs in Kolkata, West Bengal; moderate JD alignment; skills: Qdrant, NLP, Python, Information Retrieval; built semantic search; product-company background; actively looking; long notice (90d)."
CAND_0054123,9,0.701559,"Applied ML Engineer with 4.7 yrs in Gurgaon, Haryana; strong JD alignment; skills: Python, Weaviate, Qdrant; built recommendation system; product-company background."
CAND_0075249,10,0.671609,"Applied ML Engineer with 6.2 yrs in Ahmedabad, Gujarat; strong JD alignment; skills: Milvus, Machine Learning, Pinecone; built recommendation system; product-company background; actively looking."
CAND_0046525,11,0.670061,"Senior Machine Learning Engineer with 6.1 yrs in Pune, Maharashtra; strong JD alignment; skills: Elasticsearch, Machine Learning, Information Retrieval, NLP; implemented RAG pipeline; actively looking."
CAND_0079387,12,0.647432,"AI Engineer with 6.9 yrs in Trivandrum, Kerala; moderate JD alignment; skills: Python, OpenSearch; built recommendation system; product-company background; actively looking; 30d notice."
CAND_0033861,13,0.645471,"Senior NLP Engineer with 8.0 yrs in Vizag, Andhra Pradesh; moderate JD alignment; skills: Weaviate, Machine Learning, Elasticsearch, Pinecone; built recommendation system; product-company background; 30d notice; low response rate."
CAND_0002025,14,0.64302,"Senior AI Engineer with 5.9 yrs in Trivandrum, Kerala; moderate JD alignment; skills: FAISS, OpenSearch, Weaviate, NLP; built recommendation system; product-company background; actively looking; 30d notice."
CAND_0094759,15,0.641499,"Lead AI Engineer with 8.6 yrs in Mumbai, Maharashtra; strong JD alignment; skills: Qdrant, NLP, FAISS, Weaviate; implemented RAG pipeline; product-company background; 30d notice; low response rate."
CAND_0071974,16,0.637081,"Senior AI Engineer with 7.8 yrs in Vizag, Andhra Pradesh; moderate JD alignment; skills: Weaviate, Pinecone, Machine Learning, Information Retrieval; built recommendation system; product-company background; actively looking."
CAND_0018549,17,0.630767,"Recommendation Systems Engineer with 6.8 yrs in Coimbatore, Tamil Nadu; moderate JD alignment; skills: Weaviate, Elasticsearch, Qdrant, Milvus; built recommendation system; product-company background; actively looking."
CAND_0006557,18,0.616034,"NLP Engineer with 7.9 yrs in Jaipur, Rajasthan; moderate JD alignment; skills: Elasticsearch, OpenSearch, Weaviate, FAISS; built recommendation system; product-company background; actively looking; long notice (120d)."
CAND_0077337,19,0.612911,"Staff Machine Learning Engineer with 7.0 yrs in Kochi, Kerala; moderate JD alignment; skills: Pinecone, Information Retrieval, RAG, Qdrant; built recommendation system; product-company background; actively looking."
CAND_0062247,20,0.604412,"AI Engineer with 7.3 yrs in Kochi, Kerala; moderate JD alignment; skills: Pinecone, Qdrant, RAG, Information Retrieval; built semantic search; product-company background; actively looking; 30d notice."
CAND_0042506,21,0.603209,"Search Engineer with 4.2 yrs in Mumbai, Maharashtra; moderate JD alignment; skills: Information Retrieval, Milvus, Qdrant, FAISS; built recommendation system; product-company background; actively looking; 15d notice."
CAND_0068811,22,0.601952,"Applied ML Engineer with 8.0 yrs in Pune, Maharashtra; moderate JD alignment; skills: Qdrant, Embeddings, Pinecone, OpenSearch; built recommendation system; product-company background; actively looking; 30d notice."
CAND_0041669,23,0.595412,"Recommendation Systems Engineer with 8.0 yrs in Noida, Uttar Pradesh; moderate JD alignment; skills: FAISS, Milvus, Weaviate, Information Retrieval; built recommendation system; product-company background; actively looking."
CAND_0028793,24,0.595371,"Search Engineer with 7.2 yrs in Trivandrum, Kerala; skills: Embeddings, Information Retrieval, NLP; built semantic search; product-company background; actively looking; long notice (120d)."
CAND_0089552,25,0.592377,"Machine Learning Engineer with 6.0 yrs in Kolkata, West Bengal; moderate JD alignment; skills: Weaviate, Qdrant, Milvus, Machine Learning; built recommendation system; product-company background; long notice (120d)."
CAND_0011687,26,0.590916,"Senior NLP Engineer with 7.8 yrs in Indore, Madhya Pradesh; strong JD alignment; skills: OpenSearch, FAISS, Embeddings, Weaviate; used Pinecone in production; actively looking; 15d notice."
CAND_0053591,27,0.590914,"AI Engineer with 5.3 yrs in Toronto; moderate JD alignment; skills: Embeddings, Milvus, OpenSearch, Qdrant; implemented RAG pipeline; product-company background; actively looking; concern: outside India (toronto)."
CAND_0083307,28,0.576291,"Search Engineer with 7.8 yrs in Vizag, Andhra Pradesh; moderate JD alignment; skills: Embeddings, Pinecone, Weaviate, Python; built semantic search; product-company background; actively looking; long notice (120d)."
CAND_0042029,29,0.575684,"Senior Data Scientist with 6.5 yrs in Delhi, Delhi; moderate JD alignment; skills: NLP, RAG, Elasticsearch, Embeddings; implemented RAG pipeline; product-company background."
CAND_0069638,30,0.575039,"Computer Vision Engineer with 6.2 yrs in Chennai, Tamil Nadu; moderate JD alignment; skills: Pinecone; built ranking system; product-company background; actively looking; 30d notice."
CAND_0086151,31,0.565301,"Recommendation Systems Engineer with 7.7 yrs in Vizag, Andhra Pradesh; moderate JD alignment; skills: Qdrant, OpenSearch, Embeddings, Elasticsearch; built recommendation system; product-company background; actively looking; long notice (120d)."
CAND_0044855,32,0.564883,"Senior Data Scientist with 6.6 yrs in Coimbatore, Tamil Nadu; moderate JD alignment; skills: OpenSearch, Information Retrieval, Pinecone, Machine Learning; built recommendation system; product-company background."
CAND_0075439,33,0.562841,"Machine Learning Engineer with 4.3 yrs in Vizag, Andhra Pradesh; moderate JD alignment; skills: Elasticsearch, OpenSearch, Information Retrieval, Embeddings; built recommendation system; product-company background; 30d notice."
CAND_0007411,34,0.559221,"Senior Machine Learning Engineer with 8.0 yrs in Kochi, Kerala; moderate JD alignment; skills: OpenSearch, Information Retrieval, Pinecone; used Pinecone in production; product-company background; 15d notice; low response rate; concern: low platform engagement."
CAND_0049896,35,0.558914,"Search Engineer with 7.3 yrs in Vizag, Andhra Pradesh; moderate JD alignment; skills: Information Retrieval, NLP; built recommendation system; product-company background; actively looking; long notice (90d)."
CAND_0069905,36,0.553267,"Applied ML Engineer with 6.6 yrs in Bhubaneswar, Odisha; moderate JD alignment; skills: Python, Weaviate; built recommendation system; product-company background; actively looking; long notice (90d)."
CAND_0020877,37,0.5509,"Applied ML Engineer with 5.1 yrs in Gurgaon, Haryana; moderate JD alignment; skills: Elasticsearch, OpenSearch, Information Retrieval, Weaviate; built semantic search; product-company background."
CAND_0070398,38,0.53283,"Machine Learning Engineer with 7.2 yrs in Kochi, Kerala; moderate JD alignment; skills: RAG, FAISS, Embeddings, Python; built semantic search; product-company background; actively looking; long notice (120d)."
CAND_0036184,39,0.531928,"Recommendation Systems Engineer with 6.0 yrs in Trivandrum, Kerala; moderate JD alignment; skills: FAISS, Embeddings, Pinecone; built recommendation system; product-company background; actively looking; 30d notice."
CAND_0026532,40,0.528167,"Recommendation Systems Engineer with 4.8 yrs in Chennai, Tamil Nadu; moderate JD alignment; skills: Embeddings, Information Retrieval, Pinecone, FAISS; built recommendation system; product-company background; actively looking; long notice (90d)."
CAND_0057563,41,0.527087,"NLP Engineer with 6.8 yrs in Indore, Madhya Pradesh; moderate JD alignment; skills: RAG, Elasticsearch, OpenSearch, Machine Learning; built recommendation system; product-company background."
CAND_0037566,42,0.523371,"Machine Learning Engineer with 6.9 yrs in Bangalore, Karnataka; skills: Pinecone, NLP, Elasticsearch; implemented RAG pipeline; product-company background; actively looking; 15d notice."
CAND_0005649,43,0.519345,"Senior Data Scientist with 7.4 yrs in Delhi, Delhi; moderate JD alignment; skills: Weaviate, RAG, Information Retrieval; built recommendation system; actively looking; long notice (90d)."
CAND_0039383,44,0.515477,"Applied ML Engineer with 7.1 yrs in Gurgaon, Haryana; skills: FAISS, NLP, Elasticsearch; built semantic search; product-company background; actively looking; long notice (90d)."
CAND_0027691,45,0.515058,"NLP Engineer with 6.5 yrs in Pune, Maharashtra; moderate JD alignment; skills: Weaviate, Embeddings, Python; built semantic search; product-company background; actively looking; 15d notice."
CAND_0095528,46,0.514435,"Senior Data Scientist with 5.3 yrs in Indore, Madhya Pradesh; moderate JD alignment; skills: OpenSearch, Qdrant, Elasticsearch, Python; built recommendation system; product-company background; actively looking."
CAND_0007009,47,0.514097,"Recommendation Systems Engineer with 7.9 yrs in Noida, Uttar Pradesh; moderate JD alignment; skills: Weaviate, Python, Embeddings, OpenSearch; built recommendation system; product-company background; actively looking; 30d notice."
CAND_0081686,48,0.512808,"Search Engineer with 6.0 yrs in Austin; moderate JD alignment; skills: Machine Learning, Embeddings, FAISS, Milvus; built recommendation system; product-company background; concern: outside India (austin)."
CAND_0009691,49,0.511237,"Applied ML Engineer with 6.2 yrs in Indore, Madhya Pradesh; moderate JD alignment; skills: Pinecone, Qdrant, FAISS; built recommendation system; product-company background; actively looking; long notice (120d)."
CAND_0051292,50,0.510075,"Applied ML Engineer with 5.2 yrs in Trivandrum, Kerala; moderate JD alignment; skills: FAISS, NLP, RAG, Elasticsearch; built semantic search; product-company background; actively looking; 30d notice."
CAND_0076251,51,0.510053,"Search Engineer with 7.6 yrs in Bhubaneswar, Odisha; moderate JD alignment; skills: Weaviate, Elasticsearch; built semantic search; product-company background; actively looking."
CAND_0027801,52,0.508063,"NLP Engineer with 7.4 yrs in Hyderabad, Telangana; skills: FAISS, Milvus, OpenSearch; built recommendation system; product-company background; actively looking; long notice (120d)."
CAND_0044883,53,0.505679,AI Engineer with 6.3 yrs in Berlin; moderate JD alignment; skills: Embeddings; built recommendation system; product-company background; long notice (90d); concern: outside India (berlin).
CAND_0091909,54,0.505651,"Machine Learning Engineer with 6.9 yrs in Bangalore, Karnataka; moderate JD alignment; skills: Pinecone, Qdrant, OpenSearch; built recommendation system; product-company background; actively looking."
CAND_0050454,55,0.50485,"AI Engineer with 6.8 yrs in Delhi, Delhi; moderate JD alignment; skills: FAISS, Qdrant, NLP; built semantic search; product-company background; actively looking; 30d notice."
CAND_0047721,56,0.502452,"Senior Data Scientist with 7.0 yrs in Coimbatore, Tamil Nadu; skills: Milvus, RAG, Information Retrieval, FAISS; built recommendation system; product-company background; long notice (90d)."
CAND_0060054,57,0.500283,"AI Engineer with 6.4 yrs in Jaipur, Rajasthan; moderate JD alignment; skills: Weaviate, FAISS, Elasticsearch; built recommendation system; product-company background; 15d notice; concern: low platform engagement."
CAND_0043860,58,0.499042,"Junior ML Engineer with 6.1 yrs in Bhubaneswar, Odisha; skills: Information Retrieval, Qdrant; built ranking system; product-company background; actively looking; 30d notice."
CAND_0067866,59,0.49394,"Senior Software Engineer (ML) with 6.4 yrs in Noida, Uttar Pradesh; moderate JD alignment; skills: Embeddings, Elasticsearch, Qdrant; built ranking system; actively looking."
CAND_0004402,60,0.493528,"AI Research Engineer with 6.0 yrs in Delhi, Delhi; moderate JD alignment; skills: OpenSearch, Qdrant; built ranking system; product-company background; actively looking."
CAND_0052328,61,0.491787,"Recommendation Systems Engineer with 6.5 yrs in Pune, Maharashtra; moderate JD alignment; skills: OpenSearch, Python; built recommendation system; product-company background; actively looking; 30d notice."
CAND_0029367,62,0.490987,"Senior Data Scientist with 5.7 yrs in Bangalore, Karnataka; skills: FAISS, RAG, NLP, Pinecone; built semantic search; product-company background; actively looking; long notice (90d)."
CAND_0079064,63,0.489348,"Senior Data Scientist with 5.2 yrs in Noida, Uttar Pradesh; moderate JD alignment; skills: OpenSearch, NLP, Pinecone; built semantic search; product-company background; actively looking; long notice (120d)."
CAND_0066376,64,0.486721,"Applied ML Engineer with 5.7 yrs in Mumbai, Maharashtra; strong JD alignment; skills: NLP, Information Retrieval, FAISS; built recommendation system; actively looking; long notice (90d)."
CAND_0061265,65,0.485184,"Recommendation Systems Engineer with 6.6 yrs in Delhi, Delhi; moderate JD alignment; skills: Qdrant, Embeddings, Milvus; built recommendation system; product-company background; actively looking; long notice (120d)."
CAND_0050876,66,0.482958,"Applied ML Engineer with 6.0 yrs in Kolkata, West Bengal; moderate JD alignment; skills: Qdrant, FAISS, Machine Learning, OpenSearch; built recommendation system; product-company background; actively looking; long notice (90d)."
CAND_0030953,67,0.480186,"Search Engineer with 7.8 yrs in Chennai, Tamil Nadu; skills: Qdrant, Python, Weaviate, RAG; built recommendation system."
CAND_0044222,68,0.478818,"AI Engineer with 7.7 yrs in Vizag, Andhra Pradesh; moderate JD alignment; skills: OpenSearch, Qdrant, Weaviate, NLP; built semantic search; actively looking."
CAND_0040887,69,0.476076,"Machine Learning Engineer with 4.7 yrs in Toronto; moderate JD alignment; skills: FAISS, Python, Milvus; built semantic search; product-company background; actively looking; 15d notice; concern: outside India (toronto)."
CAND_0046924,70,0.472378,"Computer Vision Engineer with 6.3 yrs in Noida, Uttar Pradesh; moderate JD alignment; skills: RAG, FAISS, Embeddings; built ranking system; long notice (120d); concern: low platform engagement."
CAND_0051004,71,0.469879,"Senior Data Scientist with 4.7 yrs in Delhi, Delhi; moderate JD alignment; skills: Embeddings, Qdrant; implemented RAG pipeline; product-company background; actively looking; 15d notice."
CAND_0016163,72,0.469798,"Applied ML Engineer with 6.7 yrs in Gurgaon, Haryana; skills: Weaviate, Embeddings, Pinecone, Machine Learning; built semantic search; product-company background; actively looking; long notice (120d)."
CAND_0024147,73,0.469663,"ML Engineer with 5.9 yrs in Jaipur, Rajasthan; skills: Qdrant, OpenSearch; built ranking system; product-company background; actively looking."
CAND_0040117,74,0.46629,"Recommendation Systems Engineer with 6.5 yrs in Vizag, Andhra Pradesh; moderate JD alignment; skills: Embeddings, RAG, FAISS; built recommendation system; product-company background; actively looking; 15d notice."
CAND_0065195,75,0.463023,"Search Engineer with 5.1 yrs in Kolkata, West Bengal; skills: Elasticsearch, Qdrant; implemented RAG pipeline; product-company background; actively looking."
CAND_0009024,76,0.457303,"Search Engineer with 5.2 yrs in Chennai, Tamil Nadu; skills: Qdrant, FAISS, Machine Learning, OpenSearch; built recommendation system; product-company background; actively looking; 30d notice."
CAND_0001930,77,0.45701,"Senior Software Engineer (ML) with 6.9 yrs in Kolkata, West Bengal; skills: Machine Learning, NLP, Embeddings, Milvus; built ranking system; product-company background; actively looking; long notice (120d)."
CAND_0055992,78,0.455982,"AI Engineer with 16.9 yrs in Sydney; moderate JD alignment; skills: Information Retrieval, FAISS, RAG, OpenSearch; built recommendation system; product-company background; actively looking; concern: outside India (sydney); overexperienced (16.9 yrs)."
CAND_0018722,79,0.451235,"Recommendation Systems Engineer with 6.6 yrs in Toronto; skills: Weaviate, Python; built recommendation system; product-company background; actively looking; long notice (90d); concern: outside India (toronto)."
CAND_0030827,80,0.446892,"Senior Data Scientist with 5.4 yrs in Singapore; moderate JD alignment; skills: NLP, FAISS, Qdrant; built semantic search; product-company background; actively looking; long notice (120d); concern: outside India (singapore)."
CAND_0017960,81,0.444417,"Recommendation Systems Engineer with 7.7 yrs in Bangalore, Karnataka; skills: Machine Learning, Qdrant, Python, Information Retrieval; built recommendation system; product-company background; actively looking."
CAND_0078002,82,0.442005,"Machine Learning Engineer with 6.3 yrs in Coimbatore, Tamil Nadu; skills: NLP, Weaviate; built recommendation system; product-company background; actively looking."
CAND_0056262,83,0.440152,"Junior ML Engineer with 6.0 yrs in Bangalore, Karnataka; moderate JD alignment; skills: Embeddings, Machine Learning; built ranking system; long notice (90d)."
CAND_0093912,84,0.437072,"Senior Data Scientist with 5.3 yrs in Chandigarh, Chandigarh; moderate JD alignment; skills: Milvus, Embeddings, Elasticsearch; built semantic search; product-company background; actively looking; 30d notice."
CAND_0096172,85,0.431601,"NLP Engineer with 5.2 yrs in Chennai, Tamil Nadu; moderate JD alignment; skills: OpenSearch, Elasticsearch, Python, RAG; built recommendation system."
CAND_0084819,86,0.431575,"Search Engineer with 4.5 yrs in Indore, Madhya Pradesh; moderate JD alignment; skills: OpenSearch, Weaviate, Information Retrieval; implemented RAG pipeline; product-company background; actively looking; long notice (120d)."
CAND_0005509,87,0.431503,"Data Scientist with 6.0 yrs in Noida, Uttar Pradesh; skills: Python, Qdrant; built ranking system; product-company background; actively looking; 30d notice."
CAND_0015967,88,0.425726,"Senior Software Engineer (ML) with 5.4 yrs in Hyderabad, Telangana; skills: Pinecone, Embeddings; built ranking system; product-company background; actively looking; 30d notice."
CAND_0096104,89,0.419444,"AI Specialist with 7.0 yrs in Delhi, Delhi; skills: Pinecone; built ranking system; product-company background; actively looking; 30d notice."
CAND_0007596,90,0.417901,"Junior ML Engineer with 4.4 yrs in Delhi, Delhi; skills: Machine Learning, Python, Weaviate; built ranking system; product-company background; actively looking."
CAND_0026362,91,0.415547,"Data Scientist with 5.0 yrs in Gurgaon, Haryana; skills: Weaviate, Pinecone; built ranking system; product-company background; actively looking."
CAND_0030031,92,0.413213,"AI Engineer with 5.7 yrs in Trivandrum, Kerala; moderate JD alignment; skills: Information Retrieval, Python, NLP, RAG; built recommendation system; product-company background; 30d notice."
CAND_0058412,93,0.411554,"Senior Software Engineer (ML) with 6.6 yrs in Indore, Madhya Pradesh; skills: Embeddings, Milvus, RAG, Machine Learning; built ranking system; product-company background."
CAND_0051630,94,0.408827,"Machine Learning Engineer with 6.0 yrs in Kolkata, West Bengal; moderate JD alignment; skills: Elasticsearch, Embeddings, Machine Learning, Python; built semantic search; product-company background; long notice (90d)."
CAND_0011432,95,0.405961,"Senior Data Scientist with 7.6 yrs in Chennai, Tamil Nadu; skills: OpenSearch, Machine Learning, Elasticsearch; implemented RAG pipeline; product-company background; actively looking."
CAND_0001610,96,0.405686,"Machine Learning Engineer with 3.0 yrs in Trivandrum, Kerala; moderate JD alignment; skills: Pinecone, Milvus, Information Retrieval, NLP; built recommendation system; product-company background; actively looking; long notice (90d); concern: under-experienced (3.0 yrs)."
CAND_0041568,97,0.403991,"Search Engineer with 5.2 yrs in Sydney; moderate JD alignment; skills: Weaviate, Qdrant, Pinecone; built recommendation system; product-company background; actively looking; long notice (90d); concern: outside India (sydney)."
CAND_0033179,98,0.403757,"AI Research Engineer with 6.9 yrs in Ahmedabad, Gujarat; skills: OpenSearch, Information Retrieval; built ranking system; actively looking; 30d notice."
CAND_0007412,99,0.401397,"Applied ML Engineer with 7.4 yrs in Noida, Uttar Pradesh; skills: Pinecone, Milvus, RAG; built recommendation system; product-company background; actively looking; long notice (120d)."
CAND_0003557,100,0.399901,"ML Engineer with 6.8 yrs in Chandigarh, Chandigarh; skills: Elasticsearch, Weaviate; built ranking system; product-company background; actively looking; long notice (90d)."
